City,State, Median Sale Price 
LOS ANGELES,CA,"$650,575.00 "
CHICAGO,IL,"$256,833.33 "
SAN ANTONIO,TX,"$193,350.00 "
PHILADELPHIA,PA,"$146,283.33 "
PHOENIX,AZ,"$217,200.00 "
LAS VEGAS,NV,"$255,250.00 "
SAN DIEGO,CA,"$584,883.33 "
SAN JOSE,CA,"$1,016,700.00 "
JACKSONVILLE,FL,"$141,641.67 "
CHARLOTTE,NC,"$218,225.00 "
FORT WORTH,TX,"$209,325.00 "
TUCSON,AZ,"$190,966.67 "
COLUMBUS,OH,"$151,900.00 "
LOUISVILLE,KY,"$162,750.00 "
ORLANDO,FL,"$232,341.67 "
EL PASO,TX,"$142,200.00 "
DENVER,CO,"$415,183.33 "
SEATTLE,WA,"$700,841.67 "
MEMPHIS,TN,"$102,058.33 "
BOSTON,MA,"$616,425.00 "
WASHINGTON,DC,"$524,683.33 "
PORTLAND,OR,"$415,333.33 "
NASHVILLE,TN,"$258,283.33 "
SACRAMENTO,CA,"$311,166.67 "
BALTIMORE,MD,"$120,141.67 "
MILWAUKEE,WI,"$129,575.00 "
FRESNO,CA,"$243,241.67 "
OMAHA,NE,"$170,708.33 "
ALBUQUERQUE,NM,"$198,275.00 "
OKLAHOMA CITY,OK,"$135,375.00 "
RALEIGH,NC,"$250,200.00 "
MESA,AZ,"$232,466.67 "
MIAMI,FL,"$310,783.33 "
ATLANTA,GA,"$222,308.33 "
COLORADO SPRINGS,CO,"$275,250.00 "
LONG BEACH,CA,"$536,525.00 "
VIRGINIA BEACH,VA,"$253,683.33 "
OAKLAND,CA,"$699,358.33 "
TULSA,OK,"$134,100.00 "
MINNEAPOLIS,MN,"$248,333.33 "
HONOLULU,HI,"$538,108.33 "
CLEVELAND,OH,"$55,925.00 "
NEW ORLEANS,LA,"$234,383.33 "
ARLINGTON,TX,"$198,758.33 "
KNOXVILLE,TN,"$171,891.67 "
BATON ROUGE,LA,"$177,475.00 "
WICHITA,KS,"$138,783.33 "
TAMPA,FL,"$217,441.67 "
AURORA,CO,"$315,750.00 "
RIVERSIDE,CA,"$398,683.33 "
BAKERSFIELD,CA,"$246,066.67 "
CINCINNATI,OH,"$152,208.33 "
PITTSBURGH,PA,"$153,500.00 "
ANAHEIM,CA,"$577,308.33 "
COLUMBIA,SC,"$132,916.67 "
ISLIP,NY,"$362,633.33 "
MARIETTA,GA,"$261,658.33 "
VANCOUVER,WA,"$320,608.33 "
SAINT LOUIS,MO,"$137,208.33 "
GREENSBORO,NC,"$146,941.67 "
LEXINGTON,KY,"$173,525.00 "
FORT WAYNE,IN,"$139,325.00 "
SILVER SPRING,MD,"$386,600.00 "
TOLEDO,OH,"$71,791.67 "
ANCHORAGE,AK,"$278,391.67 "
SAINT PAUL,MN,"$206,483.33 "
NAPLES,FL,"$320,458.33 "
DURHAM,NC,"$219,491.67 "
TALLAHASSEE,FL,"$181,483.33 "
STOCKTON,CA,"$282,383.33 "
PLANO,TX,"$324,770.00 "
HENDERSON,NV,"$305,291.67 "
LINCOLN,NE,"$172,125.00 "
MODESTO,CA,"$284,266.67 "
RENO,NV,"$353,441.67 "
SPOKANE,WA,"$201,125.00 "
CHANDLER,AZ,"$275,208.33 "
HIALEAH,FL,"$256,558.33 "
SAN BERNARDINO,CA,"$279,783.33 "
CHULA VISTA,CA,"$499,816.67 "
SAINT PETERSBURG,FL,"$209,808.33 "
PENSACOLA,FL,"$142,408.33 "
LAWRENCEVILLE,GA,"$204,758.33 "
MADISON,WI,"$245,916.67 "
WINSTON-SALEM,NC,"$139,433.33 "
NORFOLK,VA,"$185,433.33 "
GLENDALE,AZ,"$212,558.33 "
SCOTTSDALE,AZ,"$348,891.67 "
FAYETTEVILLE,NC,"$111,175.00 "
BOISE,ID,"$266,858.33 "
IRVINE,CA,"$843,341.67 "
SARASOTA,FL,"$250,150.00 "
CHESAPEAKE,VA,"$244,441.67 "
FORT MYERS,FL,"$197,883.33 "
SPRING,TX,"$201,816.67 "
GILBERT,AZ,"$293,483.33 "
NORTH LAS VEGAS,NV,"$246,900.00 "
FREMONT,CA,"$1,076,250.00 "
SANTA CLARITA,CA,"$531,658.33 "
FONTANA,CA,"$403,350.00 "
IRVING,TX,"$251,291.67 "
ARLINGTON,VA,"$574,241.67 "
GREENVILLE,SC,"$187,741.67 "
SANTA ROSA,CA,"$583,733.33 "
OXNARD,CA,"$504,791.67 "
RICHMOND,VA,"$209,850.00 "
DES MOINES,IA,"$130,675.00 "
OCALA,FL,"$132,383.33 "
BOCA RATON,FL,"$311,433.33 "
WOODBRIDGE,VA,"$314,725.00 "
ROCHESTER,NY,"$66,525.00 "
MONTGOMERY,AL,"$100,025.00 "
BRADENTON,FL,"$212,850.00 "
CORONA,CA,"$470,008.33 "
OCEANSIDE,CA,"$506,083.33 "
TACOMA,WA,"$280,433.33 "
GRAND RAPIDS,MI,"$148,883.33 "
GAINESVILLE,FL,"$170,783.33 "
YONKERS,NY,"$488,300.00 "
GLENDALE,CA,"$784,158.33 "
MORENO VALLEY,CA,"$323,683.33 "
AKRON,OH,"$66,200.00 "
AURORA,IL,"$180,941.67 "
HUNTINGTON BEACH,CA,"$769,841.67 "
HUNTSVILLE,AL,"$162,675.00 "
EUGENE,OR,"$297,191.67 "
SALT LAKE CITY,UT,"$327,633.33 "
PORT SAINT LUCIE,FL,"$205,441.67 "
SALINAS,CA,"$479,625.00 "
LITTLE ROCK,AR,"$155,708.33 "
FORT COLLINS,CO,"$378,716.67 "
HAYWARD,CA,"$634,900.00 "
ROCKFORD,IL,"$89,950.00 "
EVANSVILLE,IN,"$128,283.33 "
WORCESTER,MA,"$223,200.00 "
OVERLAND PARK,KS,"$305,125.00 "
LANCASTER,CA,"$276,091.67 "
SALEM,OR,"$266,216.67 "
GARDEN GROVE,CA,"$591,066.67 "
GRAND PRAIRIE,TX,"$213,966.67 "
BEAVERTON,OR,"$362,966.67 "
ESCONDIDO,CA,"$519,808.33 "
FORT LAUDERDALE,FL,"$323,366.67 "
ONTARIO,CA,"$434,366.67 "
COLUMBUS,GA,"$107,366.67 "
CHARLESTON,SC,"$301,691.67 "
KISSIMMEE,FL,"$208,300.00 "
CHATTANOOGA,TN,"$167,608.33 "
TEMPE,AZ,"$239,950.00 "
MURFREESBORO,TN,"$228,191.67 "
RANCHO CUCAMONGA,CA,"$505,341.67 "
CAPE CORAL,FL,"$218,950.00 "
SAVANNAH,GA,"$167,458.33 "
FREDERICKSBURG,VA,"$277,791.67 "
KILLEEN,TX,"$126,641.67 "
PALMDALE,CA,"$301,116.67 "
ROANOKE,VA,"$147,966.67 "
NEWPORT NEWS,VA,"$171,170.00 "
EL CAJON,CA,"$481,475.00 "
CLARKSVILLE,TN,"$157,191.67 "
ELK GROVE,CA,"$426,300.00 "
PEORIA,AZ,"$254,508.33 "
NAPERVILLE,IL,"$350,475.00 "
FAIRFAX,VA,"$513,966.67 "
BOYNTON BEACH,FL,"$238,491.67 "
TOPEKA,KS,"$131,458.33 "
MCKINNEY,TX,"$305,658.33 "
LAFAYETTE,LA,"$166,891.67 "
PEMBROKE PINES,FL,"$267,233.33 "
EDMOND,OK,"$216,483.33 "
LAKELAND,FL,"$151,116.67 "
PUEBLO,CO,"$165,108.33 "
SPRINGFIELD,MA,"$148,283.33 "
HENRICO,VA,"$245,983.33 "
LAKEWOOD,CO,"$371,316.67 "
CUMMING,GA,"$307,133.33 "
ALEXANDRIA,VA,"$510,558.33 "
TYLER,TX,"$177,075.00 "
POMONA,CA,"$419,275.00 "
VISALIA,CA,"$243,308.33 "
CYPRESS,TX,"$250,583.33 "
ROUND ROCK,TX,"$268,458.33 "
ANN ARBOR,MI,"$342,408.33 "
WHITTIER,CA,"$518,125.00 "
KANSAS CITY,KS,"$118,966.67 "
SUNNYVALE,CA,"$1,541,225.00 "
HOLLYWOOD,FL,"$249,191.67 "
CONROE,TX,"$217,858.33 "
LANSING,MI,"$86,916.67 "
CARY,NC,"$335,733.33 "
PATERSON,NJ,"$197,241.67 "
YUMA,AZ,"$168,766.67 "
FRISCO,TX,"$375,483.33 "
PASADENA,CA,"$789,150.00 "
BRIDGEPORT,CT,"$154,833.33 "
MACON,GA,"$98,025.00 "
CANTON,OH,"$94,816.67 "
NEWARK,DE,"$223,016.67 "
RENTON,WA,"$447,650.00 "
